,Transcript,Translation_Status,IonXpress_SFPQ_N,IonXpress_NONO_N
0,uc010cto.3,Translated,1,1
1,uc010pwa.1,Translated,3,2
2,uc010jlt.1,Untranslated,2,0
3,uc002fun.4,Translated,1,0
4,uc003qgz.3,Translated,1,0
5,uc021ykd.1,Untranslated,1,1
6,uc003fnw.3,Translated,2,0
7,uc021ykf.1,Untranslated,1,0
8,uc009wkt.1,Translated,1,0
9,uc001whd.3,Translated,1,0
10,uc001jop.1,Untranslated,1,1
11,uc022btp.1,Untranslated,1,0
12,uc002uqf.3,Translated,2,0
13,uc003mbl.1,Translated,1,0
14,uc004edx.3,Translated,1,0
15,uc021qjo.1,Untranslated,1,0
16,uc003dlq.3,Translated,3,0
17,uc010sii.2,Translated,1,0
18,uc002fuj.3,Translated,2,0
19,uc010sik.2,Translated,1,0
20,uc003tmk.4,Untranslated,1,0
21,uc011byf.1,Translated,1,0
22,uc010gia.1,Untranslated,1,2
23,uc011byd.2,Translated,1,0
24,uc031skh.1,Translated,1,1
25,uc003ehx.4,Translated,1,0
26,uc002pnz.4,Translated,9,5
27,uc002ipd.3,Translated,1,0
28,uc003ehz.4,Translated,1,0
29,uc004edv.3,Translated,1,0
30,uc001yks.2,Translated,2,0
31,uc002uqd.3,Translated,2,0
32,uc021tqw.1,Untranslated,5,3
33,uc010uiu.2,Untranslated,1,0
34,uc021tqu.1,Untranslated,3,1
35,uc011bfm.2,Untranslated,3,0
36,uc011kpn.1,Translated,1,0
37,uc001hwl.3,Translated,1,0
38,uc021pcv.1,Untranslated,1,0
39,uc003ngl.3,Translated,1,0
40,uc021xav.1,Translated,2,0
41,uc001htu.2,Translated,1,0
42,uc001tfp.3,Translated,1,0
43,uc003ysj.3,Untranslated,1,2
44,uc001doa.4,Translated,6,5
45,uc001fpz.4,Translated,1,0
46,uc021rst.1,Untranslated,3,2
47,uc010vwk.2,Untranslated,5,3
48,uc009xue.3,Untranslated,1,0
49,uc002vpu.4,Translated,2,2
50,uc003lnx.1,Translated,1,0
51,uc002wbo.4,Translated,1,0
52,uc010vwi.2,Untranslated,5,3
53,uc010vwo.1,Untranslated,5,3
54,uc003lnb.3,Translated,1,1
55,uc011dek.1,Translated,1,0
56,uc002drh.2,Translated,1,0
57,uc003pql.3,Translated,1,0
58,uc001lyh.3,Translated,1,0
59,uc009zlr.1,Translated,1,0
60,uc003qdx.3,Translated,5,5
61,uc001cgb.3,Translated,2,2
62,uc021pcl.1,Untranslated,1,0
63,uc011jxi.2,Translated,1,0
64,uc001lyj.2,Translated,1,0
65,uc002yae.3,Translated,1,0
66,uc004erx.2,Translated,1,0
67,uc001evz.3,Translated,1,0
68,uc003pjt.3,Untranslated,1,0
69,uc002vvs.3,Translated,1,1
70,uc003lnd.3,Translated,1,1
71,uc010rog.2,Untranslated,42,289
72,uc004dbi.3,Translated,1,0
73,uc011dmy.2,Translated,2,0
74,uc001zrp.3,Translated,1,0
75,uc010iza.3,Translated,1,0
76,uc003xxx.4,Translated,1,4
77,uc009yln.1,Translated,1,0
78,uc010kgq.2,Translated,1,0
79,uc011dea.2,Translated,1,0
80,uc010rdd.2,Translated,1,0
81,uc002yaa.3,Translated,1,0
82,uc002tax.2,Untranslated,3,0
83,uc003phx.2,Translated,1,0
84,uc003zad.2,Translated,1,0
85,uc002hjb.3,Translated,1,1
86,uc010rqb.1,Translated,1,4
87,uc021qxn.1,Translated,3,2
88,uc002apv.3,Translated,7,4
89,uc003zaf.1,Translated,1,0
90,uc003tgt.3,Translated,1,0
91,uc021ydy.1,Untranslated,2,0
92,uc011dnd.2,Translated,2,0
93,uc010yyy.2,Untranslated,1,1
94,uc003tgv.3,Translated,1,0
95,uc004cer.3,Translated,1,0
96,uc011mtr.2,Translated,1,0
97,uc031psx.1,Translated,1,0
98,uc002enu.5,Translated,1,0
99,uc002apx.3,Translated,7,4
100,uc003mkx.3,Translated,1,0
101,uc001hqb.3,Translated,1,0
102,uc021qxv.1,Translated,1,0
103,uc010yys.2,Translated,1,0
104,uc001fnr.3,Translated,2,0
105,uc003ckw.2,Translated,1,0
106,uc004ccj.4,Translated,1,0
107,uc011bwg.2,Translated,2,0
108,uc001che.3,Translated,1,0
109,uc010oyh.1,Untranslated,2,3
110,uc010ena.1,Untranslated,2,1
111,uc003yig.1,Untranslated,1,0
112,uc011loc.1,Translated,1,0
113,uc003ztr.2,Translated,1,0
114,uc003lys.1,Translated,1,0
115,uc010vmm.2,Translated,2,0
116,uc010hml.1,Untranslated,1,1
117,uc001bvt.2,Translated,1,0
118,uc002rgv.3,Translated,1,0
119,uc010jwx.3,Translated,1,0
120,uc001bqs.2,Untranslated,1,1
121,uc002fmx.2,Translated,1,1
122,uc010jwv.3,Translated,1,0
123,uc002apz.1,Untranslated,2,0
124,uc003eok.3,Translated,1,0
125,uc001bqq.1,Untranslated,1,2
126,uc009zlf.4,Translated,1,2
127,uc002ixd.2,Translated,1,0
128,uc011loe.1,Translated,1,0
129,uc021ypv.1,Untranslated,1,0
130,uc001xbt.3,Translated,1,0
131,uc003jpy.4,Translated,1,0
132,uc010zyg.3,Translated,1,0
133,uc001bqk.3,Untranslated,2,3
134,uc021ohe.1,Untranslated,1,1
135,uc001qgk.4,Translated,1,0
136,uc021yfa.1,Translated,1,1
137,uc003qee.4,Translated,4,5
138,uc003okf.1,Translated,1,0
139,uc003zah.2,Translated,1,0
140,uc011dhl.2,Translated,2,0
141,uc003zaj.2,Translated,1,0
142,uc011dmq.2,Translated,1,1
143,uc009vml.2,Translated,2,0
144,uc003nvb.4,Translated,1,0
145,uc010lfx.3,Translated,2,0
146,uc011cdo.2,Translated,1,0
147,uc001onx.3,Translated,1,5
148,uc010nuu.1,Translated,8,9
149,uc001cgc.3,Translated,2,2
150,uc010fsm.3,Translated,1,0
151,uc002mna.3,Translated,1,0
152,uc003bib.3,Translated,1,0
153,uc011bwi.2,Translated,1,2
154,uc031qcu.1,Translated,3,3
155,uc003mni.1,Translated,3,0
156,uc010osp.2,Translated,1,0
157,uc003okh.1,Translated,1,0
158,uc003qrg.3,Translated,1,0
159,uc010jls.3,Translated,2,0
160,uc002sws.4,Translated,1,0
161,uc010qjb.2,Untranslated,1,1
162,uc002uui.3,Translated,1,0
163,uc010dee.1,Untranslated,1,0
164,uc003csn.3,Untranslated,1,0
165,uc002ipc.3,Translated,1,0
166,uc021rkj.1,Translated,1,0
167,uc004eqm.3,Translated,1,1
168,uc003lxp.3,Translated,1,0
169,uc003csl.4,Translated,1,0
170,uc011mtn.2,Translated,1,1
171,uc021omv.1,Translated,2,1
172,uc011cqi.2,Translated,1,0
173,uc011dvr.2,Translated,2,1
174,uc009wwm.1,Untranslated,1,2
175,uc002klq.3,Translated,1,0
176,uc003dmo.3,Translated,1,0
177,uc021ouw.1,Untranslated,2,1
178,uc009yxe.1,Translated,1,0
179,uc004efu.4,Translated,1,0
180,uc011aoj.1,Translated,2,1
181,uc002gqk.1,Translated,2,0
182,uc001tfs.3,Translated,1,0
183,uc002tng.1,Translated,1,1
184,uc002cyr.1,Translated,1,0
185,uc010xrw.2,Translated,1,2
186,uc003lmz.3,Translated,1,1
187,uc002yjl.3,Untranslated,2,3
188,uc001rpe.3,Translated,1,1
189,uc010veg.2,Translated,2,0
190,uc001rke.3,Translated,1,0
191,uc021ott.2,Translated,8,6
192,uc001onv.3,Translated,1,5
193,uc003axi.3,Translated,4,3
194,uc010vwl.1,Untranslated,5,3
195,uc004fah.1,Untranslated,2,1
196,uc001zrs.3,Translated,1,0
197,uc002vym.1,Translated,1,0
198,uc010nlo.3,Untranslated,1,0
199,uc021ogr.1,Untranslated,1,1
200,uc001fpy.4,Translated,1,0
201,uc001cmf.2,Translated,2,1
202,uc010fnh.1,Untranslated,1,1
203,uc002fnm.2,Translated,1,1
204,uc011ctz.1,Translated,1,0
205,uc004cao.4,Translated,2,1
206,uc009zcx.1,Untranslated,1,0
207,uc001ufh.3,Translated,1,0
208,uc010rzu.2,Translated,6,3
209,uc010fnf.3,Translated,1,1
210,uc021zcd.1,Translated,1,0
211,uc003gxm.3,Translated,1,0
212,uc031tdb.1,Translated,1,0
213,uc021pmn.1,Untranslated,2,0
214,uc001pec.3,Untranslated,12,10
215,uc003kev.1,Translated,1,0
216,uc002pbu.2,Translated,1,0
217,uc010tbk.2,Translated,1,0
218,uc010jap.2,Untranslated,1,0
219,uc002vtx.2,Translated,1,0
220,uc021zep.1,Untranslated,2,1
221,uc001nvx.2,Untranslated,1,2
222,uc021tkz.1,Translated,1,0
223,uc002vtz.3,Translated,1,0
224,uc010aqg.3,Translated,2,0
225,uc021yjz.1,Untranslated,2,1
226,uc002kfo.3,Untranslated,3,0
227,uc001zha.2,Translated,1,0
228,uc001nvv.2,Untranslated,3,2
229,uc002kfm.1,Translated,3,0
230,uc002jse.2,Untranslated,2,1
231,uc001qop.2,Translated,4,1
232,uc031tdn.1,Untranslated,1,0
233,uc009wwl.3,Untranslated,2,2
234,uc003pju.2,Translated,1,0
235,uc002vvt.3,Translated,1,1
236,uc010soh.1,Translated,1,0
237,uc003lhc.1,Translated,2,0
238,uc004fqe.1,Untranslated,1,0
239,uc010fia.3,Translated,1,0
240,uc004fad.1,Translated,2,1
241,uc003lcv.3,Translated,1,0
242,uc004faf.2,Translated,2,1
243,uc002gqa.4,Untranslated,5,3
244,uc011dbk.2,Translated,1,1
245,uc021uvv.1,Untranslated,1,0
246,uc010mli.3,Translated,1,0
247,uc031rlt.1,Translated,9,5
248,uc001nex.2,Translated,1,0
249,uc011bis.2,Translated,1,0
250,uc022ajq.1,Translated,2,0
251,uc001ssg.4,Translated,1,0
252,uc011ctl.2,Translated,1,0
253,uc009ywf.1,Untranslated,2,2
254,uc021rkl.1,Translated,1,0
255,uc003kou.1,Translated,1,0
256,uc003evr.1,Translated,1,0
257,uc002pob.2,Translated,2,0
258,uc009ywb.1,Translated,2,0
259,uc001emo.2,Translated,2,3
260,uc002hnm.3,Translated,1,0
261,uc021yto.1,Untranslated,3,1
262,uc010jax.3,Untranslated,1,0
263,uc010fzo.4,Translated,1,0
264,uc002hno.3,Translated,1,0
265,uc004beh.4,Translated,1,0
266,uc021yok.1,Untranslated,1,0
267,uc010phr.2,Translated,1,0
268,uc004bej.4,Translated,1,0
269,uc001bhk.3,Translated,2,0
270,uc001net.1,Translated,1,0
271,uc011cyq.2,Untranslated,1,0
272,uc003fqv.3,Translated,5,4
273,uc004bel.1,Translated,1,0
274,uc001nez.2,Translated,1,0
275,uc002fnf.1,Translated,1,0
276,uc002lds.1,Untranslated,2,2
277,uc001lyi.3,Translated,1,0
278,uc011edi.2,Translated,1,0
279,uc010enb.1,Untranslated,3,2
280,uc002kdu.3,Translated,3,3
281,uc002fnd.3,Translated,1,0
282,uc001bvs.3,Translated,1,0
283,uc002dvw.3,Translated,2,0
284,uc003kbz.4,Translated,1,0
285,uc011mql.2,Translated,1,0
286,uc002kdw.1,Translated,1,0
287,uc002zvn.3,Translated,2,1
288,uc001bqn.3,Untranslated,2,3
289,uc001ksz.2,Untranslated,2,3
290,uc003jua.4,Translated,1,0
291,uc001bql.3,Untranslated,2,3
292,uc003mco.1,Translated,1,0
293,uc003qha.2,Translated,1,0
294,uc001lsg.1,Translated,1,0
295,uc010eut.1,Translated,2,0
296,uc021xax.1,Translated,2,0
297,uc003nty.1,Untranslated,2,0
298,uc003prw.1,Translated,1,0
299,uc003ntw.2,Translated,4,0
300,uc003ntu.3,Translated,4,0
301,uc010hag.3,Untranslated,1,0
302,uc003jsy.4,Translated,1,0
303,uc001txr.3,Translated,1,0
304,uc001rwq.2,Translated,1,0
305,uc003prx.3,Translated,1,0
306,uc001rws.2,Translated,1,0
307,uc003qkt.3,Translated,3,3
308,uc001chf.3,Translated,1,0
309,uc002gkg.4,Translated,3,2
310,uc003mbn.1,Translated,1,0
311,uc001lsi.1,Translated,1,0
312,uc001bqb.2,Translated,6,3
313,uc010mlg.3,Translated,1,0
314,uc002sqx.1,Translated,1,1
315,uc021ris.1,Untranslated,1,0
316,uc021tra.1,Untranslated,5,3
317,uc002nvg.2,Translated,1,2
318,uc010osu.2,Translated,6,5
319,uc011eac.2,Translated,1,0
320,uc003mnj.1,Translated,3,0
321,uc002gki.4,Translated,3,2
322,uc010ifd.3,Translated,1,0
323,uc002crl.1,Translated,3,0
324,uc009wbu.1,Untranslated,3,2
325,uc001yps.3,Translated,1,0
326,uc010ftq.1,Untranslated,3,1
327,uc002ptg.3,Translated,2,1
328,uc010fru.3,Translated,2,0
329,uc010vwg.2,Untranslated,5,3
330,uc009yho.2,Translated,1,0
331,uc021pbd.1,Translated,2,0
332,uc002pte.3,Untranslated,2,1
333,uc010cpw.3,Translated,1,0
334,uc010vqw.2,Translated,1,0
335,uc001mpr.4,Translated,1,0
336,uc003trc.1,Translated,1,0
337,uc001nuh.3,Translated,1,1
338,uc004edt.3,Translated,1,0
339,uc001mpp.3,Translated,1,0
340,uc010tst.2,Translated,1,1
341,uc002vbg.1,Translated,2,1
342,uc009ywh.3,Untranslated,1,0
343,uc010wkx.1,Translated,2,0
344,uc001sdd.4,Translated,1,0
345,uc021vol.1,Untranslated,1,0
346,uc001xhi.2,Translated,2,0
347,uc031pnx.1,Translated,2,3
348,uc002wqe.3,Translated,3,1
349,uc001chh.2,Translated,1,0
350,uc001pdu.1,Translated,2,0
351,uc002vbi.1,Untranslated,2,0
352,uc003xry.3,Translated,1,0
353,uc010sjz.2,Translated,1,0
354,uc001gjo.1,Untranslated,1,1
355,uc003kgy.1,Translated,1,0
356,uc003tra.2,Translated,1,0
357,uc021unh.1,Untranslated,1,0
358,uc001bsh.1,Translated,1,1
359,uc004edp.3,Translated,1,0
360,uc001rtt.1,Translated,8,4
361,uc003rjx.2,Translated,2,1
362,uc004edr.3,Translated,1,0
363,uc009yif.3,Translated,1,1
364,uc010nah.3,Untranslated,2,1
365,uc001doc.1,Translated,6,5
366,uc004eeb.3,Translated,1,0
367,uc002nvi.2,Translated,1,1
368,uc003lzc.3,Untranslated,1,0
369,uc002uue.3,Translated,1,0
370,uc004czt.3,Translated,1,0
371,uc002sbk.3,Translated,1,3
372,uc001pyo.3,Translated,6,3
373,uc003oxb.2,Translated,2,1
374,uc021yth.1,Untranslated,1,0
375,uc009xcx.3,Translated,1,2
376,uc002cno.2,Translated,1,1
377,uc001ktb.4,Translated,2,3
378,uc010ssr.2,Translated,1,0
379,uc011bzg.2,Translated,1,0
380,uc002cnm.2,Untranslated,1,1
381,uc002ell.1,Translated,1,1
382,uc002pti.1,Untranslated,1,1
383,uc011bpl.1,Translated,1,0
384,uc001nvs.3,Untranslated,11,8
385,uc011lfa.2,Untranslated,4,5
386,uc004ays.3,Translated,1,0
387,uc010udp.2,Translated,1,0
388,uc010ohk.2,Translated,1,0
389,uc021xpp.1,Untranslated,2,0
390,uc021ytv.1,Translated,1,0
391,uc002uul.3,Translated,2,0
392,uc003tmm.2,Untranslated,1,0
393,uc004cor.1,Untranslated,1,1
394,uc010zhv.1,Translated,2,1
395,uc010xqi.1,Translated,1,0
396,uc003dtp.1,Translated,1,0
397,uc011avz.1,Translated,1,1
398,uc002tmk.3,Translated,1,0
399,uc021tbm.1,Untranslated,1,1
400,uc004bek.4,Translated,1,0
401,uc021zai.1,Translated,1,0
402,uc010pss.2,Translated,1,2
403,uc004cov.5,Untranslated,14,11
404,uc004edz.3,Translated,1,0
405,uc003lnf.3,Translated,1,1
406,uc004boj.4,Translated,1,0
407,uc003xsm.2,Translated,1,1
408,uc004fkk.2,Translated,8,9
409,uc003xso.1,Untranslated,1,1
410,uc001ack.2,Translated,1,1
411,uc010urq.2,Translated,2,0
412,uc004fko.2,Translated,1,0
413,uc003pnn.1,Translated,1,0
414,uc009vky.3,Translated,1,0
415,uc021zic.1,Translated,5,25
416,uc011ddz.2,Translated,1,0
417,uc003icr.4,Translated,1,0
418,uc010cim.1,Untranslated,1,1
419,uc010hki.1,Translated,1,0
420,uc010bht.3,Untranslated,2,2
421,uc009xpx.1,Translated,1,1
422,uc001mjc.3,Translated,2,1
423,uc021ytl.1,Untranslated,1,1
424,uc010hxy.3,Translated,2,0
425,uc021szy.1,Untranslated,1,1
426,uc010hpg.3,Translated,1,0
427,uc003kir.3,Translated,1,0
428,uc003dtl.3,Translated,1,0
429,uc010psu.2,Translated,1,2
430,uc004but.3,Translated,1,0
431,uc011dio.2,Translated,1,0
432,uc002ldp.3,Translated,6,4
433,uc010psq.2,Translated,1,2
434,uc011lpl.2,Translated,1,0
435,uc021pde.1,Untranslated,1,1
436,uc001bsl.1,Untranslated,1,0
437,uc011bfk.2,Untranslated,3,0
438,uc021qjs.1,Untranslated,1,1
439,uc010ogb.1,Translated,1,1
440,uc010iwp.3,Translated,1,0
441,uc010kxc.3,Translated,1,0
442,uc004fkq.1,Untranslated,1,0
443,uc002wfw.4,Translated,1,0
444,uc021rul.1,Translated,2,0
445,uc011beh.1,Untranslated,1,0
446,uc003ysl.3,Untranslated,2,4
447,uc001tux.3,Translated,2,0
448,uc001owh.4,Translated,3,3
449,uc001ick.3,Translated,1,0
450,uc011dnp.1,Translated,4,0
451,uc001owj.1,Untranslated,1,1
452,uc001rwn.3,Translated,1,0
453,uc001mol.3,Translated,1,0
454,uc001ici.3,Translated,1,0
455,uc002gkj.4,Untranslated,3,2
456,uc003llb.4,Translated,1,0
457,uc010emz.1,Untranslated,3,1
458,uc003eom.3,Translated,1,0
459,uc010ext.3,Untranslated,1,0
460,uc002jtm.3,Translated,1,1
461,uc001lsj.1,Translated,1,0
462,uc001xxs.3,Translated,1,1
463,uc002gkp.4,Untranslated,2,1
464,uc010scf.2,Translated,1,0
465,uc002vud.4,Translated,1,0
466,uc011dnv.1,Untranslated,1,0
467,uc011kis.2,Translated,1,1
468,uc001rtm.3,Translated,5,2
469,uc002ysf.1,Translated,1,0
470,uc011dnb.2,Untranslated,2,0
471,uc001dpb.3,Translated,2,2
472,uc010pba.1,Translated,1,0
473,uc002ysd.3,Translated,1,0
474,uc003svl.3,Untranslated,1,1
475,uc003ldf.3,Translated,3,1
476,uc003nrl.3,Translated,1,1
477,uc010ojn.2,Translated,2,2
478,uc011dnn.2,Translated,4,0
479,uc002ysb.1,Translated,1,0
480,uc002vpi.3,Translated,1,0
481,uc011dyz.2,Translated,1,0
482,uc001qfh.3,Translated,1,0
483,uc021uqp.1,Translated,1,0
484,uc004eqo.3,Translated,1,0
485,uc001ndj.2,Translated,2,0
486,uc010pen.2,Translated,1,0
487,uc001hqc.4,Translated,1,0
488,uc010pel.2,Translated,1,0
489,uc002ldt.2,Untranslated,2,1
490,uc022bah.1,Untranslated,2,0
491,uc003jsp.4,Translated,1,0
492,uc021ynm.1,Untranslated,2,1
493,uc003zab.1,Translated,1,0
494,uc003nxp.3,Untranslated,2,1
495,uc002rdi.3,Translated,1,0
496,uc002vrw.1,Untranslated,1,1
497,uc001dmn.3,Translated,1,0
498,uc002vru.3,Translated,3,3
499,uc010fgr.1,Untranslated,1,1
500,uc010gjq.3,Translated,1,0
501,uc021udi.1,Untranslated,4,4
502,uc003bfq.3,Untranslated,1,0
503,uc001ndh.1,Translated,1,0
504,uc004edo.3,Translated,1,0
505,uc003cjs.1,Untranslated,1,0
506,uc011eai.1,Translated,1,0
507,uc010mee.2,Translated,1,0
508,uc002qtg.1,Translated,2,0
509,uc021wfn.1,Translated,1,0
510,uc003ztp.2,Translated,1,0
511,uc001kta.4,Translated,2,3
512,uc004bra.1,Untranslated,1,0
513,uc001dpd.3,Translated,2,2
514,uc022cde.1,Translated,1,1
515,uc002eev.4,Translated,4,5
516,uc001esc.2,Translated,1,0
517,uc001uis.3,Translated,1,0
518,uc010yob.1,Translated,1,0
519,uc011mwg.2,Translated,2,1
520,uc001tfo.3,Translated,1,0
521,uc021xqz.1,Untranslated,2,0
522,uc003cai.1,Translated,1,1
523,uc002cqz.1,Translated,1,0
524,uc003ldt.3,Translated,3,2
525,uc001hyl.1,Translated,3,4
526,uc021tqz.1,Translated,5,3
527,uc003cak.1,Untranslated,1,1
528,uc002cqx.3,Untranslated,1,0
529,uc021ujy.1,Translated,6,4
530,uc010oti.2,Translated,1,0
531,uc010tfz.2,Translated,1,1
532,uc021wfl.1,Translated,1,0
533,uc021tqx.1,Untranslated,5,3
534,uc003zka.1,Translated,1,0
535,uc001xiw.3,Translated,1,1
536,uc003cam.2,Translated,1,1
537,uc010vwp.1,Untranslated,5,3
538,uc010iuc.2,Translated,1,0
539,uc010zfw.2,Translated,2,0
540,uc010mzz.2,Translated,1,0
541,uc021ujw.1,Translated,6,4
542,uc021ykg.1,Untranslated,1,0
543,uc001tfm.3,Translated,1,0
544,uc021vnl.1,Translated,1,1
545,uc009vtj.1,Untranslated,1,2
546,uc004edy.3,Translated,1,0
547,uc003nvd.3,Untranslated,1,0
548,uc001sdi.4,Translated,1,0
549,uc021osy.1,Translated,1,3
550,uc010fus.3,Translated,2,1
551,uc003dfh.1,Untranslated,1,0
552,uc002fuk.1,Untranslated,1,0
553,uc003gqx.3,Translated,1,0
554,uc031qcs.1,Translated,3,3
555,uc002ttj.3,Untranslated,20,23
556,uc003pof.3,Translated,1,0
557,uc002xty.4,Translated,1,0
558,uc002aom.3,Translated,1,0
559,uc010axb.4,Translated,1,0
560,uc003dff.3,Translated,5,1
561,uc003lha.2,Translated,2,0
562,uc003hqm.1,Translated,1,0
563,uc002gqc.3,Translated,5,3
564,uc021qew.1,Translated,1,0
565,uc002fuq.3,Translated,1,0
566,uc001ura.3,Translated,2,1
567,uc001phn.1,Translated,1,0
568,uc002ipe.3,Translated,1,0
569,uc004edw.3,Translated,1,0
