,Transcript,Translation_Status,MiSeqSFPQc.csv,MiSeqNONOc.csv,HuRc_conversionc
487,uc003qob.3,Translated,0,1,0
488,uc001dnw.3,Translated,0,2,0
489,uc022amh.1,Translated,0,1,0
490,uc011mfi.2,Untranslated,0,1,0
491,uc001tsh.3,Translated,0,1,0
492,uc021rdb.2,Translated,0,1,1
493,uc002ywg.1,Untranslated,0,1,0
494,uc031rtz.1,Translated,0,1,0
495,uc001czy.3,Translated,0,1,0
496,uc002vee.4,Translated,0,2,0
497,uc010oql.3,Translated,0,1,0
498,uc010fus.3,Translated,0,1,0
499,uc001cov.3,Translated,0,1,0
500,uc001ddu.3,Translated,0,1,0
501,uc010oqn.3,Untranslated,0,1,0
502,uc031rua.1,Translated,0,1,0
503,uc031tas.1,Untranslated,0,1,0
504,uc003xun.3,Translated,0,1,0
505,uc001ygd.3,Translated,0,1,0
506,uc021rda.2,Translated,0,1,1
507,uc010ngx.2,Untranslated,0,1,0
508,uc003jfh.1,Translated,0,1,0
509,uc001vod.3,Translated,0,1,0
510,uc004ddn.3,Translated,0,1,0
511,uc001tsk.3,Untranslated,0,1,0
512,uc002xvf.3,Translated,0,1,0
513,uc003upv.2,Translated,0,1,0
514,uc011kgj.1,Translated,0,1,1
515,uc031ruc.1,Translated,0,1,0
516,uc001tsi.3,Translated,0,1,0
517,uc010yyz.2,Translated,0,1,0
518,uc021rcz.2,Translated,0,1,1
519,uc001ibl.3,Translated,0,2,0
520,uc021rcy.2,Translated,0,1,1
521,uc001ymi.1,Translated,0,1,0
522,uc004ddo.3,Translated,0,1,0
523,uc001tkv.2,Untranslated,0,1,0
524,uc003vtx.2,Translated,0,1,0
525,uc003vty.4,Translated,0,1,0
526,uc001lxb.3,Untranslated,0,1,0
527,uc003xuj.3,Translated,0,1,0
528,uc021zgt.1,Translated,0,1,0
529,uc002lsn.3,Translated,0,2,0
530,uc002xvb.4,Untranslated,0,1,0
531,uc031ruf.1,Translated,0,1,0
532,uc002ywh.1,Translated,0,1,0
533,uc010oos.2,Translated,0,1,0
534,uc002lnh.2,Translated,0,1,0
535,uc010ujj.1,Translated,0,1,0
536,uc003hiz.1,Translated,0,1,1
537,uc003vtw.3,Translated,0,1,0
538,uc010hwn.2,Translated,0,2,0
539,uc011bpj.1,Translated,0,2,0
540,uc010yzc.2,Untranslated,0,1,0
541,uc002tnc.3,Translated,0,1,0
542,uc003hix.3,Translated,0,1,1
543,uc001dnv.3,Translated,0,2,0
544,uc010fur.3,Translated,0,2,0
545,uc021rmv.1,Translated,0,1,0
546,uc010qxn.2,Translated,0,1,0
547,uc021sbn.1,Translated,0,1,0
548,uc002izo.3,Translated,0,1,0
549,uc001tsm.1,Translated,0,1,0
550,uc010drd.2,Translated,0,1,0
551,uc003vmi.3,Translated,0,1,0
552,uc001hnu.2,Translated,0,1,0
553,uc021ofr.1,Untranslated,0,1,0
554,uc021vnl.1,Translated,0,1,0
555,uc001ibk.3,Translated,0,2,0
556,uc010yza.2,Translated,0,1,0
557,uc001ygf.3,Translated,0,1,0
558,uc031rub.1,Untranslated,0,1,0
559,uc001aoi.3,Translated,0,1,0
560,uc003udl.1,Untranslated,0,1,0
561,uc001vob.4,Translated,0,1,0
562,uc002ywi.3,Translated,0,1,0
563,uc022alw.1,Translated,0,1,0
564,uc010lle.3,Translated,0,1,0
565,uc001dnx.3,Translated,0,2,0
566,uc002xva.4,Translated,0,1,0
567,uc010plb.2,Translated,0,1,0
568,uc031rud.1,Translated,0,1,0
569,uc022atp.1,Translated,0,0,1
570,uc001ztl.3,Translated,0,0,1
571,uc001fed.2,Translated,0,0,1
572,uc003sqd.4,Translated,0,0,1
573,uc003his.3,Translated,0,0,1
574,uc003lsd.3,Translated,0,0,1
575,uc010cto.3,Translated,0,0,1
576,uc001ztn.3,Translated,0,0,1
577,uc021wkp.1,Translated,0,0,1
578,uc002vpu.4,Translated,0,0,1
579,uc021trb.1,Untranslated,0,0,1
580,uc011dcu.2,Translated,0,0,1
581,uc010van.1,Translated,0,0,2
582,uc021uau.1,Untranslated,0,0,1
583,uc031sor.1,Translated,0,0,1
584,uc001feb.1,Translated,0,0,1
585,uc001dii.3,Translated,0,0,1
586,uc010fnk.3,Translated,0,0,1
587,uc009wuu.2,Translated,0,0,1
588,uc001fdy.1,Translated,0,0,1
589,uc002jjj.4,Translated,0,0,1
590,uc003xih.2,Translated,0,0,1
591,uc003lum.3,Translated,0,0,1
592,uc001eil.3,Translated,0,0,1
593,uc002tuz.3,Translated,0,0,1
594,uc002jjh.3,Translated,0,0,1
595,uc003qsg.3,Translated,0,0,1
596,uc003hyn.3,Translated,0,0,1
597,uc001hdb.3,Translated,0,0,1
598,uc011dvs.2,Translated,0,0,1
599,uc010snd.2,Translated,0,0,1
600,uc002gaa.4,Translated,0,0,1
601,uc003hyl.4,Translated,0,0,1
602,uc003sqf.4,Translated,0,0,1
603,uc010zfv.3,Translated,0,0,1
604,uc002cpt.3,Translated,0,0,1
605,uc010snf.1,Translated,0,0,1
606,uc001hav.4,Translated,0,0,1
607,uc009yxz.3,Translated,0,0,1
608,uc003ziu.1,Untranslated,0,0,1
609,uc001jjy.1,Translated,0,0,1
610,uc009yxx.1,Untranslated,0,0,1
611,uc001rph.3,Translated,0,0,1
612,uc001kuq.2,Translated,0,0,1
613,uc011mle.1,Untranslated,0,0,1
614,uc001ufg.3,Translated,0,0,1
615,uc010mhl.1,Translated,0,0,1
616,uc011lgf.1,Translated,0,0,1
617,uc021tqw.1,Untranslated,0,0,1
618,uc003kzq.3,Translated,0,0,1
619,uc003vte.4,Translated,0,0,1
620,uc010vwm.1,Untranslated,0,0,1
621,uc003krk.3,Translated,0,0,1
622,uc003jhv.3,Translated,0,0,1
623,uc002iev.3,Translated,0,0,1
624,uc002acd.1,Translated,0,0,1
625,uc010fyq.3,Translated,0,0,1
626,uc004cff.3,Untranslated,0,0,1
627,uc031ref.1,Translated,0,0,1
628,uc003qlp.3,Translated,0,0,1
629,uc011dgq.2,Translated,0,0,2
630,uc003vfx.3,Translated,0,0,1
631,uc003zle.3,Translated,0,0,1
632,uc003ydf.1,Untranslated,0,0,1
633,uc009zun.4,Translated,0,0,1
634,uc004bvu.4,Translated,0,0,1
635,uc001bgo.3,Translated,0,0,1
636,uc004cfe.4,Translated,0,0,1
637,uc001gcd.3,Translated,0,0,1
638,uc001blb.3,Translated,0,0,1
639,uc010vwg.2,Untranslated,0,0,1
640,uc001pyg.3,Untranslated,0,0,1
641,uc003kvs.1,Translated,0,0,1
642,uc001wxg.4,Translated,0,0,1
643,uc003kuv.2,Translated,0,0,1
644,uc009yjz.3,Translated,0,0,1
645,uc010vwk.2,Untranslated,0,0,1
646,uc002uld.2,Translated,0,0,1
647,uc003oxb.2,Translated,0,0,1
648,uc003pvy.4,Translated,0,0,4
649,uc010vwi.2,Untranslated,0,0,1
650,uc001ira.3,Translated,0,0,1
651,uc009xug.3,Translated,0,0,1
652,uc004aqf.2,Translated,0,0,1
653,uc011kpj.2,Untranslated,0,0,1
654,uc003yeo.2,Translated,0,0,1
655,uc010vwo.1,Untranslated,0,0,1
656,uc003mkl.3,Translated,0,0,2
657,uc002hzo.3,Translated,0,0,1
658,uc021wro.1,Untranslated,0,0,1
659,uc002kak.2,Translated,0,0,1
660,uc003avx.4,Translated,0,0,1
661,uc003jma.3,Translated,0,0,1
662,uc002jsb.2,Untranslated,0,0,1
663,uc004fae.2,Translated,0,0,1
664,uc002jsd.2,Untranslated,0,0,1
665,uc002vps.4,Translated,0,0,1
666,uc010oev.2,Translated,0,0,1
667,uc003nrl.3,Translated,0,0,1
668,uc009yjx.3,Translated,0,0,1
669,uc001wza.4,Translated,0,0,2
670,uc002upq.4,Translated,0,0,1
671,uc001mvu.3,Translated,0,0,2
672,uc021pgx.1,Translated,0,0,1
673,uc002kti.1,Untranslated,0,0,1
674,uc003lun.3,Translated,0,0,1
675,uc001iay.1,Translated,0,0,2
676,uc001kuo.2,Translated,0,0,1
677,uc001mvw.3,Translated,0,0,2
678,uc003btb.2,Translated,0,0,1
679,uc001mvy.3,Translated,0,0,2
680,uc021orn.1,Translated,0,0,1
681,uc010lvk.3,Translated,0,0,1
682,uc010yss.2,Translated,0,0,1
683,uc010uwa.2,Untranslated,0,0,1
684,uc001emn.4,Translated,0,0,1
685,uc003thc.4,Translated,0,0,1
686,uc009xjf.1,Translated,0,0,1
687,uc003kzr.3,Translated,0,0,1
688,uc002hjb.3,Translated,0,0,1
689,uc031ppo.1,Translated,0,0,1
690,uc001cfg.4,Translated,0,0,1
691,uc003jcm.3,Translated,0,0,1
692,uc022alt.1,Untranslated,0,0,1
693,uc010cpd.3,Untranslated,0,0,1
694,uc010jai.3,Translated,0,0,1
695,uc002kag.3,Untranslated,0,0,1
696,uc010grb.1,Translated,0,0,1
697,uc002ivj.3,Translated,0,0,1
698,uc001ztk.1,Translated,0,0,1
699,uc022bdo.1,Translated,0,0,1
700,uc003bgt.4,Untranslated,0,0,1
701,uc003jri.4,Translated,0,0,1
702,uc001drb.3,Translated,0,0,1
703,uc011mbj.2,Translated,0,0,1
704,uc022alr.1,Untranslated,0,0,1
705,uc010pej.2,Translated,0,0,1
706,uc001drd.4,Translated,0,0,1
707,uc003btd.4,Translated,0,0,1
708,uc010oyh.1,Untranslated,0,0,1
709,uc001xlb.2,Translated,0,0,1
710,uc001ouf.3,Translated,0,0,2
711,uc021rve.1,Translated,0,0,2
712,uc010bbi.3,Translated,0,0,4
713,uc021udi.1,Untranslated,0,0,1
714,uc002znc.2,Translated,0,0,1
715,uc031ppm.1,Translated,0,0,1
716,uc001mut.4,Translated,0,0,1
717,uc001zwt.3,Translated,0,0,1
718,uc002vwd.3,Translated,0,0,1
719,uc001giy.1,Translated,0,0,1
720,uc002rgv.3,Translated,0,0,1
721,uc001muv.4,Translated,0,0,1
722,uc021rob.1,Untranslated,0,0,1
723,uc003zsg.2,Translated,0,0,1
724,uc001xfr.2,Translated,0,0,2
725,uc002zne.2,Translated,0,0,1
726,uc011mwg.2,Translated,0,0,1
727,uc001imu.1,Translated,0,0,1
728,uc001iqv.3,Untranslated,0,0,1
729,uc002jhi.4,Translated,0,0,1
730,uc002ixv.3,Untranslated,0,0,1
731,uc003exc.1,Translated,0,0,1
732,uc002zro.1,Translated,0,0,1
733,uc003kvp.2,Translated,0,0,1
734,uc002lpq.2,Translated,0,0,1
735,uc011dmq.2,Translated,0,0,1
736,uc002bgm.3,Translated,0,0,1
737,uc021tqz.1,Translated,0,0,1
738,uc003sot.4,Translated,0,0,5
739,uc022bol.1,Translated,0,0,1
740,uc010ymj.2,Translated,0,0,1
741,uc021tqx.1,Untranslated,0,0,1
742,uc003sor.4,Translated,0,0,5
743,uc001zxc.1,Translated,0,0,1
744,uc003sqe.4,Translated,0,0,1
745,uc022atq.1,Translated,0,0,1
746,uc001ztm.3,Translated,0,0,1
747,uc010vwp.1,Untranslated,0,0,1
748,uc021wko.1,Translated,0,0,1
749,uc003oxa.2,Translated,0,0,1
750,uc021trc.1,Untranslated,0,0,1
751,uc010drg.3,Translated,0,0,1
752,uc001dih.4,Untranslated,0,0,1
753,uc003qsh.3,Translated,0,0,1
754,uc002jhg.4,Translated,0,0,1
755,uc002rmh.3,Translated,0,0,1
756,uc001iqt.3,Translated,0,0,1
757,uc002mer.4,Translated,0,0,1
758,uc010rer.2,Translated,0,0,2
759,uc009yii.3,Translated,0,0,1
760,uc002tuy.3,Translated,0,0,1
761,uc002sgf.3,Translated,0,0,1
762,uc001xki.2,Translated,0,0,2
763,uc021tra.1,Untranslated,0,0,1
764,uc021osy.1,Translated,0,0,1
765,uc002spr.3,Translated,0,0,1
766,uc001ims.3,Translated,0,0,1
767,uc021pny.1,Translated,0,0,1
768,uc001pku.3,Translated,0,0,1
769,uc002jjg.3,Translated,0,0,1
770,uc009yka.3,Translated,0,0,1
771,uc003xio.4,Translated,0,0,1
772,uc011dvr.2,Translated,0,0,1
773,uc002bgn.3,Translated,0,0,1
774,uc003hir.3,Translated,0,0,1
775,uc001vmw.4,Translated,0,0,1
776,uc002gqc.3,Translated,0,0,1
777,uc001dzl.1,Translated,0,0,1
778,uc010zws.2,Translated,0,0,1
779,uc002cpu.3,Translated,0,0,1
780,uc010fvz.1,Untranslated,0,0,1
781,uc001ryb.3,Translated,0,0,1
782,uc002cpw.3,Translated,0,0,1
783,uc002ulc.1,Translated,0,0,1
784,uc001eim.4,Translated,0,0,1
785,uc021rcj.1,Untranslated,0,0,1
786,uc001emm.4,Translated,0,0,1
787,uc001pks.3,Translated,0,0,1
788,uc001rpg.3,Translated,0,0,1
789,uc021ott.2,Translated,0,0,1
790,uc021tqv.1,Untranslated,0,0,1
791,uc003jhw.2,Translated,0,0,1
792,uc010vwl.1,Untranslated,0,0,1
793,uc003jhu.3,Translated,0,0,1
794,uc021oqe.1,Translated,0,0,1
795,uc003krl.3,Translated,0,0,1
796,uc010orm.2,Translated,0,0,1
797,uc010yml.2,Translated,0,0,1
798,uc003lse.3,Translated,0,0,1
799,uc003xjr.2,Translated,0,0,1
800,uc021qro.1,Untranslated,0,0,1
801,uc003kuu.3,Translated,0,0,1
802,uc003vfy.3,Translated,0,0,1
803,uc001gcc.2,Translated,0,0,1
804,uc001bla.3,Translated,0,0,1
805,uc003hit.3,Translated,0,0,1
806,uc004bvt.4,Translated,0,0,1
807,uc010snc.2,Translated,0,0,1
808,uc002xnu.3,Translated,0,0,1
809,uc001blc.3,Translated,0,0,1
810,uc003ysi.3,Translated,0,0,1
811,uc021zbm.1,Untranslated,0,0,2
812,uc021viy.1,Untranslated,0,0,1
813,uc003vwc.4,Translated,0,0,1
814,uc002jhk.4,Translated,0,0,1
815,uc001fdx.1,Translated,0,0,1
816,uc003jfk.3,Translated,0,0,1
817,uc010vwj.2,Untranslated,0,0,1
818,uc031pob.1,Translated,0,0,1
819,uc010vwh.2,Untranslated,0,0,1
820,uc002vpt.4,Translated,0,0,1
821,uc001eik.3,Translated,0,0,1
822,uc002ace.1,Translated,0,0,1
823,uc002jji.4,Translated,0,0,1
824,uc003hyo.3,Translated,0,0,1
825,uc021ouk.1,Translated,0,0,1
826,uc003mkk.3,Translated,0,0,2
827,uc001fea.1,Translated,0,0,1
828,uc001fdz.1,Translated,0,0,1
829,uc001iba.1,Translated,0,0,2
830,uc010vwn.1,Untranslated,0,0,1
831,uc003lsc.3,Translated,0,0,1
832,uc001gfr.1,Translated,0,0,2
833,uc031sce.1,Untranslated,0,0,1
834,uc001tej.3,Translated,0,0,1
835,uc002ule.3,Translated,0,0,1
836,uc002jsa.2,Untranslated,0,0,1
837,uc009zba.2,Untranslated,0,0,1
838,uc001bkz.3,Translated,0,0,1
839,uc021wrn.1,Untranslated,0,0,1
840,uc003hym.1,Untranslated,0,0,1
841,uc031tfl.1,Translated,0,0,1
842,uc010sne.2,Translated,0,0,1
843,uc001jjx.1,Translated,0,0,1
844,uc010jhz.3,Translated,0,0,1
845,uc009yxy.3,Translated,0,0,1
846,uc003btc.2,Translated,0,0,1
847,uc001bys.3,Translated,0,0,1
848,uc002vpr.4,Translated,0,0,1
849,uc003yqy.1,Untranslated,0,0,1
850,uc003bta.2,Translated,0,0,1
851,uc001kur.2,Translated,0,0,1
852,uc010lmv.3,Untranslated,0,0,1
853,uc001jks.4,Translated,0,0,1
854,uc004fad.1,Translated,0,0,1
855,uc010oye.3,Translated,0,0,1
856,uc003zlf.3,Translated,0,0,1
857,uc002xet.3,Translated,0,0,1
858,uc004faf.2,Translated,0,0,1
859,uc001kup.2,Translated,0,0,1
860,uc010rwe.2,Translated,0,0,1
861,uc021wsu.1,Translated,0,0,1
862,uc001bmp.4,Translated,0,0,1
863,uc002gqa.4,Untranslated,0,0,1
864,uc001jka.1,Translated,0,0,1
865,uc011dgp.2,Translated,0,0,2
866,uc021qnd.1,Translated,0,0,2
867,uc003zld.3,Translated,0,0,1
868,uc001mvv.3,Translated,0,0,2
869,uc002jne.3,Translated,0,0,1
870,uc001mvx.3,Translated,0,0,2
871,uc010sli.2,Translated,0,0,1
872,uc001mtz.1,Translated,0,0,1
873,uc010yst.2,Translated,0,0,1
874,uc001emo.2,Translated,0,0,1
875,uc001kiq.4,Translated,0,0,1
876,uc009yjy.3,Translated,0,0,1
877,uc003kvt.1,Translated,0,0,1
878,uc010bvz.1,Untranslated,0,0,2
879,uc022bdp.1,Translated,0,0,1
880,uc021rua.1,Translated,0,0,2
881,uc003jcl.3,Translated,0,0,1
882,uc003oxc.2,Translated,0,0,1
883,uc002kal.2,Translated,0,0,1
884,uc003yen.2,Translated,0,0,1
885,uc003bsz.2,Translated,0,0,1
886,uc022alq.1,Untranslated,0,0,1
887,uc002skh.4,Translated,0,0,1
888,uc021ruc.1,Untranslated,0,0,2
889,uc001iaz.1,Translated,0,0,2
890,uc003avy.4,Translated,0,0,1
891,uc001aot.3,Translated,0,0,1
892,uc021qxy.1,Translated,0,0,1
893,uc003avw.4,Translated,0,0,1
894,uc001mwc.4,Translated,0,0,2
895,uc022als.1,Untranslated,0,0,1
896,uc009yts.3,Translated,0,0,2
897,uc021ofs.1,Untranslated,0,0,1
898,uc010aqu.2,Translated,0,0,1
899,uc002dfl.1,Translated,0,0,2
900,uc001mrl.3,Translated,0,0,1
901,uc001oue.3,Translated,0,0,2
902,uc001muu.4,Translated,0,0,1
903,uc001gun.4,Translated,0,0,1
904,uc021udj.1,Untranslated,0,0,1
905,uc002kth.1,Translated,0,0,1
906,uc001xfq.2,Translated,0,0,2
907,uc031ppn.1,Translated,0,0,1
908,uc003luq.3,Translated,0,0,1
909,uc002ivi.3,Translated,0,0,1
910,uc001xfs.2,Translated,0,0,2
911,uc002znf.2,Translated,0,0,1
912,uc001iwe.4,Translated,0,0,1
913,uc002zrp.3,Translated,0,0,1
914,uc010pei.1,Translated,0,0,1
915,uc003exb.1,Translated,0,0,1
916,uc021tzn.1,Untranslated,0,0,1
917,uc011mwf.1,Translated,0,0,1
918,uc002znd.2,Translated,0,0,1
919,uc031qdy.1,Translated,0,0,1
920,uc002hja.3,Translated,0,0,1
921,uc002lpr.2,Translated,0,0,1
922,uc002jhj.4,Translated,0,0,1
923,uc002hjc.3,Translated,0,0,1
924,uc002lpp.2,Translated,0,0,1
925,uc003fdn.3,Translated,0,0,1
926,uc010gra.2,Untranslated,0,0,1
927,uc001mus.4,Translated,0,0,1
928,uc010grc.1,Translated,0,0,1
929,uc022ato.1,Translated,0,0,1
930,uc001iqs.3,Translated,0,0,1
931,uc031pvd.1,Translated,0,0,1
932,uc010cpe.2,Untranslated,0,0,1
933,uc010frs.4,Translated,0,0,1
934,uc003jrh.4,Translated,0,0,1
935,uc003soq.4,Translated,0,0,5
936,uc002rmi.3,Translated,0,0,1
937,uc002jhh.4,Translated,0,0,1
938,uc010cpw.3,Translated,0,0,1
939,uc001xkh.2,Translated,0,0,2
940,uc010aeu.1,Translated,0,0,1
941,uc001imt.1,Translated,0,0,1
942,uc010wgi.2,Translated,0,0,1
943,uc003jrj.4,Translated,0,0,1
944,uc002jjf.1,Translated,0,0,1
945,uc001zws.3,Translated,0,0,1
946,uc002jnf.3,Translated,0,0,1
947,uc001pkt.3,Translated,0,0,1
948,uc011cpm.2,Translated,0,0,1
949,uc010aoa.3,Translated,0,0,2
950,uc001zww.3,Translated,0,0,1
951,uc021vol.1,Untranslated,0,0,1
952,uc031pnx.1,Translated,0,0,1
953,uc001dzm.1,Translated,0,0,1
954,uc010wit.2,Translated,0,0,1
955,uc009yya.3,Translated,0,0,1
956,uc003zis.2,Translated,0,0,1
957,uc009ykh.3,Untranslated,0,0,2
958,uc002cpx.3,Translated,0,0,1
959,uc002rmg.3,Translated,0,0,1
960,uc002hhy.3,Translated,0,0,1
961,uc010khx.3,Translated,0,0,1
962,uc002jhl.4,Translated,0,0,1
963,uc021ots.1,Translated,0,0,1
964,uc021viz.1,Untranslated,0,0,1
965,uc010ivg.3,Translated,0,0,1
966,uc009xxb.1,Translated,0,0,1
967,uc002sps.3,Translated,0,0,1
968,uc001tff.2,Translated,0,0,1
969,uc001xub.3,Translated,0,0,1
970,uc001zkh.3,Translated,0,0,4
971,uc001xla.2,Translated,0,0,1
972,uc001zxb.1,Translated,0,0,1
973,uc002gqb.4,Untranslated,0,0,1
974,uc021tqy.1,Untranslated,0,0,1
